,Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy
75,2022-08-18,4286.5,13523.25,427.8900146484375,4295.5,13575.5,428.6099853515625,4258.0,13410.75,425.5,4279.5,13503.0,426.8599853515625,1366220,530513,49023200.0
76,2022-08-19,4231.5,13268.5,422.1400146484375,4288.0,13534.5,425.260009765625,4220.75,13228.75,421.2200012207031,4287.0,13534.25,424.9800109863281,1701251,618758,68016900.0
77,2022-08-22,4141.25,12909.75,413.3500061035156,4221.5,13226.5,417.2300109863281,4131.5,12874.5,412.3999938964844,4221.0,13226.5,417.04998779296875,1724203,599946,77695600.0
78,2022-08-23,4130.5,12896.5,412.3500061035156,4161.75,13018.5,415.4200134277344,4118.0,12823.5,411.7699890136719,4147.0,12933.75,412.8999938964844,1575674,570278,49105200.0
79,2022-08-24,4142.75,12929.75,413.6700134277344,4158.5,13011.25,415.1099853515625,4110.75,12825.75,411.3900146484375,4128.25,12892.0,412.1099853515625,1348612,503227,49177800.0
80,2022-08-25,4201.0,13156.0,419.510009765625,4202.75,13161.5,419.55999755859375,4143.0,12925.0,414.0899963378906,4148.75,12944.0,415.239990234375,1635476,543666,50942300.0
81,2022-08-26,4059.5,12620.5,405.30999755859375,4217.25,13220.0,419.9599914550781,4042.75,12557.5,405.25,4198.25,13153.75,419.3900146484375,2241117,753862,103087000.0
82,2022-08-29,4031.25,12492.75,402.6300048828125,4064.0,12610.25,405.8399963378906,4006.75,12401.5,401.20001220703125,4024.0,12485.0,402.20001220703125,1963446,693093,65370800.0
83,2022-08-30,3987.5,12358.75,398.2099914550781,4072.75,12658.25,404.1000061035156,3964.5,12247.5,396.0,4035.75,12503.5,403.8500061035156,2555455,797462,85652400.0
84,2022-08-31,3956.5,12285.25,395.17999267578125,4018.25,12513.0,401.239990234375,3953.0,12276.25,395.0400085449219,3987.25,12366.0,399.92999267578125,2366488,672068,76029700.0
85,2022-09-01,3968.75,12292.25,396.4200134277344,3971.25,12299.5,396.7799987792969,3903.5,12017.75,390.0400085449219,3958.0,12284.75,392.8900146484375,2212034,820606,78740100.0
86,2022-09-02,3924.5,12104.25,392.239990234375,4019.25,12461.5,401.55999755859375,3906.0,12040.25,390.3299865722656,3967.5,12297.75,400.2799987792969,2510355,835870,99632100.0
87,2022-09-06,3910.5,12019.0,390.760009765625,3963.25,12244.5,394.1199951171875,3886.75,11930.0,388.4200134277344,3929.0,12110.5,393.1300048828125,2360326,895450,76637400.0
88,2022-09-07,3980.0,12263.25,397.7799987792969,3988.75,12306.25,398.5899963378906,3883.5,11921.5,390.20001220703125,3907.5,12019.75,390.42999267578125,1956209,677159,70964200.0
89,2022-09-08,4005.5,12321.75,400.3800048828125,4011.5,12379.5,400.8599853515625,3942.75,12115.75,394.1199951171875,3980.0,12267.75,395.3900146484375,2356008,737024,80821700.0
90,2022-09-09,4067.25,12592.5,406.6000061035156,4077.25,12613.75,407.510009765625,4005.75,12329.5,402.4599914550781,4010.25,12345.25,402.739990234375,1677890,535984,76706900.0
