,Date,Open,High,Low,Close,Volume,IBR,CCI,SMA50,SMA200,RSI2,RSI5,EMA8,ER,EMA_100,Stoch,StochAboveSlow,Sell,Buy,LongTradeIn,LongTradeOut,HoldLong,DaysInTrade,ProfitableCloses,RollingPnL,TradePnL,RunningMax,Drawdown
93,2022-08-31,12366.0,12513.0,12276.25,12285.25,672068.0,0.03801478352692714,-166.04561704580945,12543.77,,5.913277044514331,18.02768474598821,12677.445493554658,0.6759932848349188,12584.025938225635,2.528042859534572,False,False,True,False,False,True,1,0,13952.20703125,-1470.0,23812.20703125,9860.0
94,2022-09-01,12284.75,12299.5,12017.75,12292.25,820606.0,0.974267968056788,-166.7760475707494,12558.3,,10.740574668675976,18.870589116924023,12591.846494986958,0.6978458049886621,12577.207896340436,15.931514799767847,True,False,False,False,False,True,2,0,14092.20703125,-1330.0,23812.20703125,9720.0
95,2022-09-02,12297.75,12461.5,12040.25,12104.25,835870.0,0.1519287833827893,-140.6334810062832,12565.635,,2.859643989011502,14.028007774472059,12483.491718323188,0.6859625865370452,12566.195369300125,5.02031340684852,False,False,True,False,True,True,3,0,10332.20703125,-5090.0,23812.20703125,13480.0
96,2022-09-06,12110.5,12244.5,11930.0,12019.0,895450.0,0.28298887122416533,-139.43639333479558,12563.205,,1.7170381050998316,12.246635067705299,12380.27133647359,0.6256365232660228,12553.498484921813,5.109070034443169,False,False,True,True,False,False,0,0,10332.20703125,0.0,23812.20703125,13480.0
97,2022-09-07,12019.75,12306.25,11921.5,12263.25,677159.0,0.8882391163092918,-108.30948137908285,12567.66,,70.12288989318462,39.67961989917026,12354.266595035015,0.3826862063755854,12546.786516118087,20.662031438935912,True,False,False,False,False,True,1,0,15217.20703125,4885.0,23812.20703125,8595.0
98,2022-09-08,12267.75,12379.5,12115.75,12321.75,737024.0,0.781042654028436,-82.23829959345058,12580.61,,77.59329695179832,44.84199047704739,12347.040685027234,0.3619047619047619,12541.599802995148,24.81401115933044,True,False,False,False,False,True,2,0,16387.20703125,6055.0,23812.20703125,7425.0
99,2022-09-09,12345.25,12613.75,12329.5,12592.5,535984.0,0.9252418645558487,-44.03709746372696,12598.64,,93.2396970625302,63.10789422396318,12401.587199465626,0.32676138011017686,12542.769170745507,51.417624521072796,True,False,False,False,True,True,3,0,21802.20703125,11470.0,23812.20703125,2010.0
100,2022-09-12,12626.0,12773.75,12573.25,12740.75,444255.0,0.8354114713216958,-13.642251932290877,12622.865,,96.16915507427404,69.92467283249641,12476.956710695487,0.0899233501589082,12547.303149611806,63.092029264536,True,False,False,False,False,False,0,0,21802.20703125,0.0,23812.20703125,2010.0
101,2022-09-13,12769.5,12889.0,12003.25,12036.5,463841.0,0.0375388089189952,-64.88282358188715,12631.37,,18.793966598736844,33.341834316820396,12379.077441652045,0.23840627041149576,12535.641336711806,8.856372737774356,False,False,False,False,False,False,0,0,21802.20703125,0.0,23812.20703125,2010.0
102,2022-09-14,12050.25,12173.0,12001.75,12142.0,270232.0,0.8189781021897811,-90.33167435101704,12638.04,,34.56709155705401,39.289497937318956,12326.39356572937,0.1149714891924148,12526.681502257878,16.9811320754717,False,False,False,False,False,False,0,0,21802.20703125,0.0,23812.20703125,2010.0
